"","Player","Yr","allstar"
"760","Scottie Pippen","1993",1
"761","Scottie Pippen","1994",1
"762","Scottie Pippen","1995",1
"763","Scottie Pippen","1996",1
"764","Scottie Pippen","1997",1
"765","Willis Reed","1965",1
"766","Willis Reed","1966",1
"767","Willis Reed","1967",1
"768","Willis Reed","1968",1
"769","Willis Reed","1969",1
"770","Willis Reed","1970",1
"771","Willis Reed","1971",1
"772","Jack Sikma","1979",1
"773","Jack Sikma","1980",1
"774","Jack Sikma","1981",1
"775","Jack Sikma","1982",1
"776","Jack Sikma","1983",1
"777","Jack Sikma","1984",1
"778","Jack Sikma","1985",1
"779","Nate Thurmond","1965",1
"780","Nate Thurmond","1966",1
"781","Nate Thurmond","1967",1
"782","Nate Thurmond","1968",1
"783","Nate Thurmond","1970",1
"784","Nate Thurmond","1973",1
"785","Nate Thurmond","1974",1
"786","Chet Walker","1964",1
"787","Chet Walker","1966",1
"788","Chet Walker","1967",1
"789","Chet Walker","1970",1
"790","Chet Walker","1971",1
"791","Chet Walker","1973",1
"792","Chet Walker","1974",1
"793","Jo Jo White","1971",1
"794","Jo Jo White","1972",1
"795","Jo Jo White","1973",1
"796","Jo Jo White","1974",1
"797","Jo Jo White","1975",1
"798","Jo Jo White","1976",1
"799","Jo Jo White","1977",1
"800","James Worthy","1986",1
"801","James Worthy","1987",1
"802","James Worthy","1988",1
"803","James Worthy","1989",1
"804","James Worthy","1990",1
"805","James Worthy","1991",1
"806","James Worthy","1992",1
"807","Nate Archibald","1973",1
"808","Nate Archibald","1975",1
"809","Nate Archibald","1976",1
"810","Nate Archibald","1980",1
"811","Nate Archibald","1981",1
"812","Nate Archibald","1982",1
"813","Larry Costello","1958",1
"814","Larry Costello","1959",1
"815","Larry Costello","1960",1
"816","Larry Costello","1961",1
"817","Larry Costello","1962",1
"818","Larry Costello","1965",1
"819","Stephen Curry","2014",1
"820","Stephen Curry","2015",1
"821","Stephen Curry","2016",1
"822","Stephen Curry","2017",1
"823","Stephen Curry","2018",1
"824","Stephen Curry","2019",1
"825","Adrian Dantley","1980",1
"826","Adrian Dantley","1981",1
"827","Adrian Dantley","1982",1
"828","Adrian Dantley","1984",1
"829","Adrian Dantley","1985",1
"830","Adrian Dantley","1986",1
"831","Walter Davis","1978",1
"832","Walter Davis","1979",1
"833","Walter Davis","1980",1
"834","Walter Davis","1981",1
"835","Walter Davis","1984",1
"836","Walter Davis","1987",1
"837","Joe Dumars","1990",1
"838","Joe Dumars","1991",1
"839","Joe Dumars","1992",1
"840","Joe Dumars","1993",1
"841","Joe Dumars","1995",1
"842","Joe Dumars","1997",1
"843","Pau Gasol","2006",1
"844","Pau Gasol","2009",1
"845","Pau Gasol","2010",1
"846","Pau Gasol","2011",1
"847","Pau Gasol","2015",1
"848","Pau Gasol","2016",1
"849","Paul George","2013",1
"850","Paul George","2014",1
"851","Paul George","2016",1
"852","Paul George","2017",1
"853","Paul George","2018",1
"854","Paul George","2019",1
"855","Artis Gilmore","1978",1
"856","Artis Gilmore","1979",1
