"","rk","Player","totalPL"
"497",497,"Hot Rod Williams",0.741757989376125
"498",498,"James Donaldson",0.738524334810787
"499",499,"JaVale McGee",0.738495916148683
"500",500,"Cory Joseph",0.737169514785651
"501",501,"James Posey",0.736892781607651
"502",502,"George McGinnis*",0.736682789765852
"503",503,"Jordan Farmar",0.736054101682803
"504",504,"Doug Collins",0.735165816679164
"505",505,"Vladimir Radmanovic",0.73320307524526
"506",506,"David Wesley",0.730046236280258
"507",507,"Carl Braun*",0.729298800145262
"508",508,"Jason Williams",0.725768401518155
"509",509,"Tony Campbell",0.721226086725254
"510",510,"Sasha Vujacic",0.719163878727381
"511",511,"Erick Dampier",0.717614894931379
"512",512,"David Benoit",0.717156538906214
"513",513,"Marcus Smart",0.715344877743657
"514",514,"Darrall Imhoff",0.715137479662544
"515",515,"Bill Gabor",0.714486267082597
"516",516,"Dan Roundfield",0.71382598679462
"517",517,"Kevin Loughery",0.712952423439045
"518",518,"Clemon Johnson",0.712839632133267
"519",519,"Pat Riley*",0.71148953290913
"520",520,"Earl Cureton",0.711388242297247
"521",521,"Bob Ferry",0.71091194295287
"522",522,"Bob Weiss",0.703448765107608
"523",523,"Woody Sauldsberry",0.703051569602907
"524",524,"Jonas Valanciunas",0.701002377893338
"525",525,"T.R. Dunn",0.699389329045591
"526",526,"Spencer Haywood*",0.697492728331613
"527",527,"Corliss Williamson",0.697290670451174
"528",528,"Mookie Blaylock",0.697173550445478
"529",529,"Wally Szczerbiak",0.696752894103795
"530",530,"Gerald Green",0.696194391056198
"531",531,"Greg Foster",0.695078693207427
"532",532,"Damon Stoudamire",0.694331712011437
"533",533,"Ian Mahinmi",0.692331835100447
"534",534,"DeMarre Carroll",0.691829216408495
"535",535,"Mike Mitchell",0.691398852290041
"536",536,"Matt Guokas",0.691096898102686
"537",537,"Jaylen Brown",0.689832728743888
"538",538,"Artis Gilmore*",0.687659173616811
"539",539,"Andrei Kirilenko",0.686509488947972
"540",540,"Eric Gordon",0.685944899030948
"541",541,"Steve Kuberski",0.684780485308919
"542",542,"Terry Rozier",0.684584309344646
"543",543,"Dennis Awtrey",0.683946420099754
"544",544,"Mark Olberding",0.682924808293708
"545",545,"Derrick Coleman",0.682145544740266
"546",546,"Rafer Alston",0.681095386008674
"547",547,"Mark Bryant",0.679880868760662
"548",548,"Norris Cole",0.677301305895449
"549",549,"Jeff Green",0.676267127549465
"550",550,"Aaron Williams",0.674776808475801
"551",551,"Larry Wright",0.672998611842331
"552",552,"Brandon Bass",0.67290292204077
"553",553,"Andre Miller",0.671283846961177
"554",554,"Aron Baynes",0.666056331905072
"555",555,"Mike Evans",0.664059573725492
"556",556,"Norm Van Lier",0.661816366084112
"557",557,"Mel Hutchins",0.658531221947631
"558",558,"Devin Harris",0.657238461375785
"559",559,"Med Park",0.6554184504054
"560",560,"Lucious Harris",0.65494209886497
"561",561,"Timofey Mozgov",0.654248430215423
"562",562,"Marco Belinelli",0.651645002014391
"563",563,"Dave Corzine",0.651054879554123
"564",564,"Greg Smith",0.650958578246085
"565",565,"Steven Adams",0.65062000561151
"566",566,"Rick Robey",0.646976037696526
"567",567,"Avery Bradley",0.64455471716679
"568",568,"Mike Sanders",0.642630534865305
"569",569,"Dick Schnittker",0.640427005740901
"570",570,"Jack George",0.639804084555833
"571",571,"Gerald Wilkins",0.636712046174529
"572",572,"Lew Hitch",0.636319370544
"573",573,"Jason Richardson",0.634476196427646
"574",574,"Freddie Crawford",0.633698703356079
"575",575,"Vinny Del Negro",0.632215013314359
"576",576,"Courtney Lee",0.631274778225688
"577",577,"Marreese Speights",0.629039624519012
"578",578,"Bill Hanzlik",0.626302576678414
"579",579,"Clyde Lee",0.624867625994351
"580",580,"Khris Middleton",0.624675371576515
"581",581,"Elton Brand",0.624626845975177
"582",582,"Jim Jackson",0.624464652253183
"583",583,"Bobby Jackson",0.619978386103017
"584",584,"Dahntay Jones",0.617557213161926
"585",585,"Larry Spriggs",0.616969629067686
"586",586,"Johnny Davis",0.616905121937377
"587",587,"Dennis Scott",0.616416957215901
"588",588,"Al Harrington",0.614442852018524
"589",589,"Adam Keefe",0.612784989738718
"590",590,"Greg Kite",0.610483643493487
"591",591,"Luis Scola",0.609505692505657
"592",592,"Stacey Augmon",0.609485280887109
"593",593,"John Lucas",0.609155837986318
"594",594,"Kevon Looney",0.606475985415441
"595",595,"Bill Wennington",0.605136953817053
"596",596,"Damon Jones",0.604344650472359
"597",597,"Paul Mokeski",0.602016202945176
"598",598,"Jim Holstein",0.601473338915571
"599",599,"Jim Paxson",0.601062629729047
"600",600,"Matthew Dellavedova",0.601030837590111
"601",601,"Chico Vaughn",0.597180043556146
"602",602,"Jayson Tatum",0.596297263434331
"603",603,"Danny Manning",0.593985043462456
"604",604,"CJ McCollum",0.593188193623208
"605",605,"Bucky Bockhorn",0.591073095310872
"606",606,"Yao Ming*",0.590890933468577
"607",607,"Bob Gross",0.590282308960826
"608",608,"Fred Hetzel",0.588802477261266
"609",609,"Larry Kenon",0.588168550556665
"610",610,"John Tresvant",0.58759728619213
"611",611,"Dick Garmaker",0.586282974959695
"612",612,"Ernie Grunfeld",0.584875949302517
"613",613,"Lou Williams",0.583614313046022
"614",614,"World B. Free",0.582209382392871
"615",615,"Ed Conlin",0.582140113923558
"616",616,"David Wingate",0.581493396943061
"617",617,"Sasha Pavlovic",0.581242136426406
"618",618,"Marquis Daniels",0.581227448929834
"619",619,"Evan Turner",0.580352197716171
"620",620,"Ian Clark",0.57854462496569
"621",621,"Fabricio Oberto",0.577309525619861
